,CLOSE
2014-10-31,11600.0
2014-11-03,11500.0
2014-11-04,11400.0
2014-11-05,11400.0
2014-11-06,11200.0
2014-11-07,11300.0
2014-11-10,11300.0
2014-11-11,11400.0
2014-11-12,11500.0
2014-11-13,11500.0
2014-11-14,11500.0
2014-11-17,11500.0
2014-11-18,11500.0
2014-11-19,11500.0
2014-11-20,11700.0
2014-11-21,11700.0
2014-11-24,11800.0
2014-11-25,11600.0
2014-11-26,11500.0
2014-11-27,11500.0
2014-11-28,11500.0
2014-12-01,11300.0
2014-12-02,11500.0
2014-12-03,11400.0
2014-12-04,11550.0
2014-12-05,11550.0
2014-12-08,11400.0
2014-12-09,10900.0
2014-12-10,10600.0
2014-12-11,10600.0
2014-12-12,10950.0
2014-12-15,11200.0
2014-12-16,11150.0
2014-12-17,11200.0
2014-12-18,11300.0
2014-12-19,11300.0
2014-12-22,11300.0
2014-12-23,11300.0
2014-12-24,11350.0
2014-12-25,11500.0
2014-12-26,11700.0
2014-12-29,12000.0
2014-12-30,12400.0
2014-12-31,12600.0
2015-01-05,12500.0
2015-01-06,12500.0
2015-01-07,12700.0
2015-01-08,12700.0
2015-01-09,12600.0
2015-01-12,12900.0
2015-01-13,12600.0
2015-01-14,11700.0
2015-01-15,11700.0
2015-01-16,12000.0
2015-01-19,11900.0
2015-01-20,11900.0
2015-01-21,11800.0
2015-01-22,12100.0
2015-01-23,12100.0
2015-01-26,12000.0
2015-01-27,12300.0
2015-01-28,12200.0
2015-01-29,12000.0
2015-01-30,12000.0
2015-02-02,12000.0
2015-02-03,12200.0
2015-02-04,12500.0
2015-02-05,12400.0
2015-02-06,12500.0
2015-02-09,12600.0
2015-02-10,12500.0
2015-02-11,12500.0
2015-02-12,12500.0
2015-02-13,12500.0
2015-02-16,12500.0
2015-02-17,12500.0
2015-02-25,12550.0
2015-02-26,12650.0
2015-02-27,12850.0
2015-03-02,12650.0
2015-03-03,12500.0
2015-03-04,12300.0
2015-03-05,12300.0
2015-03-06,12300.0
2015-03-09,12250.0
2015-03-10,12250.0
2015-03-11,12150.0
2015-03-12,12150.0
2015-03-13,12100.0
2015-03-16,12000.0
2015-03-17,12000.0
2015-03-18,11900.0
2015-03-19,11900.0
2015-03-20,11900.0
2015-03-23,12200.0
2015-03-24,12400.0
2015-03-25,12200.0
2015-03-26,12000.0
2015-03-27,12000.0
2015-03-30,12000.0
2015-03-31,11900.0
2015-04-01,11900.0
2015-04-02,12300.0
2015-04-03,12300.0
2015-04-07,12400.0
2015-04-08,12000.0
2015-04-09,11600.0
2015-04-10,11600.0
2015-04-13,11800.0
2015-04-14,11800.0
2015-04-15,12000.0
2015-04-16,12000.0
2015-04-17,12000.0
2015-04-20,12000.0
2015-04-21,12300.0
2015-04-22,12200.0
2015-04-23,12500.0
2015-04-24,12300.0
2015-04-27,12900.0
2015-04-28,12900.0
2015-04-29,13000.0
2015-04-30,13000.0
2015-05-04,13700.0
2015-05-05,13400.0
2015-05-06,13400.0
2015-05-07,13200.0
2015-05-08,13000.0
2015-05-11,13100.0
2015-05-12,13000.0
2015-05-13,13000.0
2015-05-14,13000.0
2015-05-15,12900.0
2015-05-18,12900.0
2015-05-19,12900.0
2015-05-20,12800.0
2015-05-21,12800.0
2015-05-22,12600.0
2015-05-25,12600.0
2015-05-26,13100.0
2015-05-27,13150.0
2015-05-28,13150.0
2015-05-29,13100.0
2015-06-01,13100.0
2015-06-02,12800.0
2015-06-03,12800.0
2015-06-04,12800.0
2015-06-05,12800.0
2015-06-08,12900.0
2015-06-09,12800.0
2015-06-10,12800.0
2015-06-11,12800.0
2015-06-12,12800.0
2015-06-15,12800.0
2015-06-16,12700.0
2015-06-17,12600.0
2015-06-18,12800.0
2015-06-19,12600.0
2015-06-23,12600.0
2015-06-24,12700.0
2015-06-25,12500.0
2015-06-26,12600.0
2015-06-29,12600.0
2015-06-30,12300.0
2015-07-01,13000.0
2015-07-02,12700.0
2015-07-03,12900.0
2015-07-06,12700.0
2015-07-07,12500.0
2015-07-08,11600.0
2015-07-09,11600.0
2015-07-10,11800.0
2015-07-13,11800.0
2015-07-14,11900.0
2015-07-15,11900.0
2015-07-16,11900.0
2015-07-17,11600.0
2015-07-20,11600.0
2015-07-21,11700.0
2015-07-22,11900.0
2015-07-23,11700.0
2015-07-24,11600.0
2015-07-27,11600.0
2015-07-28,11300.0
2015-07-29,11400.0
2015-07-30,12000.0
2015-07-31,11900.0
2015-08-03,12000.0
2015-08-04,11200.0
2015-08-05,10900.0
2015-08-06,10900.0
2015-08-07,10800.0
