datetime,open,high,low,close,volume
2009/8/31 9:30:00,19665,19665,18975,19045,576
2009/8/31 10:00:00,19020,19125,18980,19095,166
2009/8/31 10:15:00,19115,19115,19045,19045,42
2009/8/31 11:00:00,19070,19130,19050,19065,104
2009/8/31 11:30:00,19065,19180,18765,18845,464
2009/8/31 14:00:00,18865,18865,18765,18805,534
2009/8/31 14:30:00,18810,18855,18770,18775,62
2009/8/31 15:00:00,18785,18785,18760,18760,120
2009/9/1 9:30:00,18710,19040,18710,18865,260
2009/9/1 10:00:00,18920,18940,18810,18920,78
2009/9/1 10:15:00,18920,18920,18770,18855,30
2009/9/1 11:00:00,18860,18860,18605,18700,372
2009/9/1 11:30:00,18670,18735,18500,18670,534
2009/9/1 14:00:00,18720,18850,18720,18800,244
2009/9/1 14:30:00,18805,18810,18770,18790,70
2009/9/1 15:00:00,18790,18870,18760,18855,176
2009/9/2 9:30:00,18510,18510,18210,18265,682
2009/9/2 10:00:00,18270,18400,18270,18370,204
2009/9/2 10:15:00,18360,18385,18355,18370,54
2009/9/2 11:00:00,18405,18405,18250,18250,220
2009/9/2 11:30:00,18250,18260,18025,18055,248
2009/9/2 14:00:00,18035,18085,17980,18085,106
2009/9/2 14:30:00,18105,18150,18090,18130,64
2009/9/2 15:00:00,18140,18175,18110,18175,102
2009/9/3 9:30:00,18165,18385,18165,18350,190
2009/9/3 10:00:00,18370,18410,18315,18330,78
2009/9/3 10:15:00,18350,18350,18300,18300,66
2009/9/3 11:00:00,18315,18430,18315,18365,252
2009/9/3 11:30:00,18380,18615,18370,18615,190
2009/9/3 14:00:00,18600,18610,18545,18590,306
2009/9/3 14:30:00,18605,18725,18600,18725,114
2009/9/3 15:00:00,18715,18750,18680,18705,178
2009/9/4 9:30:00,18755,18955,18655,18700,226
2009/9/4 10:00:00,18665,19050,18665,19050,174
2009/9/4 10:15:00,18965,19035,18860,18865,88
2009/9/4 11:00:00,18855,18895,18800,18805,146
2009/9/4 11:30:00,18775,18820,18725,18810,150
2009/9/4 14:00:00,18810,18900,18810,18880,140
2009/9/4 14:30:00,18860,18865,18755,18785,54
2009/9/4 15:00:00,18820,18865,18800,18820,62
2009/9/7 9:30:00,18835,18980,18510,18570,262
2009/9/7 10:00:00,18570,18675,18560,18630,50
2009/9/7 10:15:00,18630,18640,18560,18560,44
2009/9/7 11:00:00,18580,18955,18580,18900,86
2009/9/7 11:30:00,18850,18895,18810,18810,46
2009/9/7 14:00:00,18805,18855,18735,18735,88
2009/9/7 14:30:00,18770,18800,18720,18780,106
2009/9/7 15:00:00,18790,19000,18790,19000,230
2009/9/8 9:30:00,18900,18940,18815,18820,266
2009/9/8 10:00:00,18750,18920,18750,18920,338
2009/9/8 10:15:00,18900,18900,18870,18870,200
2009/9/8 11:00:00,18870,19055,18870,19020,86
2009/9/8 11:30:00,19055,19080,19015,19080,72
2009/9/8 14:00:00,19080,19145,19050,19125,98
2009/9/8 14:30:00,19135,19150,19075,19110,78
2009/9/8 15:00:00,19100,19170,19085,19170,160
2009/9/9 9:30:00,19370,19440,19230,19335,534
2009/9/9 10:00:00,19335,19345,19250,19290,84
2009/9/9 10:15:00,19270,19270,19205,19215,44
2009/9/9 11:00:00,19220,19260,19165,19260,140
2009/9/9 11:30:00,19260,19260,19165,19165,56
2009/9/9 14:00:00,19195,19325,19180,19310,130
2009/9/9 14:30:00,19325,19385,19320,19365,66
2009/9/9 15:00:00,19340,19500,19340,19390,232
2009/9/10 9:30:00,19500,19500,19280,19280,184
2009/9/10 10:00:00,19355,19385,19265,19365,60
2009/9/10 10:15:00,19380,19385,19350,19380,336
2009/9/10 11:00:00,19390,19390,19300,19300,68
2009/9/10 11:30:00,19300,19380,19280,19365,104
2009/9/10 14:00:00,19385,19485,19385,19440,202
2009/9/10 14:30:00,19455,19525,19445,19480,56
2009/9/10 15:00:00,19480,19495,19420,19425,48
2009/9/11 9:30:00,19300,19300,19140,19285,342
2009/9/11 10:00:00,19295,19360,19295,19300,68
2009/9/11 10:15:00,19300,19400,19300,19400,24
2009/9/11 11:00:00,19440,19490,19415,19455,94
2009/9/11 11:30:00,19435,19550,19435,19550,110
2009/9/11 14:00:00,19515,19550,19380,19380,200
2009/9/11 14:30:00,19395,19420,19290,19330,114
2009/9/11 15:00:00,19340,19340,19285,19300,48
2009/9/14 9:30:00,18390,18390,18390,18390,32
2009/9/14 10:00:00,18390,18390,18390,18390,4
2009/9/14 10:15:00,18390,18390,18390,18390,54
2009/9/14 11:00:00,18390,18390,18390,18390,6
2009/9/14 11:30:00,18390,18390,18390,18390,0
2009/9/14 14:00:00,18390,18390,18390,18390,2
2009/9/14 14:30:00,18390,18390,18390,18390,0
2009/9/14 15:00:00,18390,18390,18390,18390,2
2009/9/15 9:30:00,17315,18285,17315,18000,678
2009/9/15 10:00:00,18025,18040,17920,17955,186
2009/9/15 10:15:00,17985,17985,17925,17925,40
2009/9/15 11:00:00,17950,18065,17900,18040,196
2009/9/15 11:30:00,18000,18045,17970,18045,98
2009/9/15 14:00:00,18060,18185,18015,18185,198
2009/9/15 14:30:00,18160,18200,18100,18115,78
2009/9/15 15:00:00,18125,18180,18100,18150,148
2009/9/16 9:30:00,18350,18410,18260,18350,176
2009/9/16 10:00:00,18345,18390,18340,18390,70
2009/9/16 10:15:00,18365,18365,18340,18340,20
2009/9/16 11:00:00,18350,18455,18350,18400,110
2009/9/16 11:30:00,18430,18460,18390,18410,64
2009/9/16 14:00:00,18450,18480,18400,18440,156
2009/9/16 14:30:00,18440,18465,18335,18335,80
2009/9/16 15:00:00,18375,18440,18355,18355,188
2009/9/17 9:30:00,18355,18650,18355,18540,182
2009/9/17 10:00:00,18530,18540,18230,18345,128
2009/9/17 10:15:00,18340,18375,18320,18320,68
2009/9/17 11:00:00,18340,18395,18315,18335,128
2009/9/17 11:30:00,18335,18350,18240,18265,158
2009/9/17 14:00:00,18295,18325,18240,18305,198
2009/9/17 14:30:00,18295,18295,18185,18285,124
2009/9/17 15:00:00,18225,18300,18135,18160,222
2009/9/18 9:30:00,18170,18220,18050,18110,198
2009/9/18 10:00:00,18090,18125,18080,18090,104
2009/9/18 10:15:00,18080,18100,18065,18100,40
2009/9/18 11:00:00,18100,18145,18090,18090,40
2009/9/18 11:30:00,18105,18210,18090,18185,116
2009/9/18 14:00:00,18140,18155,18025,18080,192
2009/9/18 14:30:00,18070,18095,18035,18070,134
2009/9/18 15:00:00,18065,18080,17965,18020,158
2009/9/21 9:30:00,17910,18185,17910,18185,244
2009/9/21 10:00:00,18160,18180,18080,18120,136
2009/9/21 10:15:00,18100,18145,18095,18095,16
2009/9/21 11:00:00,18095,18145,18085,18110,52
2009/9/21 11:30:00,18110,18135,18040,18135,298
2009/9/21 14:00:00,18115,18115,18075,18090,42
2009/9/21 14:30:00,18090,18150,18075,18090,52
2009/9/21 15:00:00,18100,18145,18090,18145,44
2009/9/22 9:30:00,18065,18110,18040,18060,66
2009/9/22 10:00:00,18070,18070,18010,18030,52
2009/9/22 10:15:00,18060,18060,18060,18060,2
2009/9/22 11:00:00,18055,18090,18045,18045,42
2009/9/22 11:30:00,18060,18070,18050,18055,36
2009/9/22 14:00:00,18055,18055,17985,18015,66
2009/9/22 14:30:00,17985,17995,17900,17990,142
2009/9/22 15:00:00,17985,17995,17940,17955,92
2009/9/23 9:30:00,18010,18040,17810,17865,220
2009/9/23 10:00:00,17855,17855,17785,17825,120
2009/9/23 10:15:00,17760,17760,17660,17735,66
2009/9/23 11:00:00,17780,17780,17625,17730,134
2009/9/23 11:30:00,17700,17730,17560,17560,100
2009/9/23 14:00:00,17600,17600,17500,17560,122
2009/9/23 14:30:00,17520,17570,17500,17550,80
2009/9/23 15:00:00,17550,17565,17500,17500,62
2009/9/24 9:30:00,17495,17500,17300,17400,164
2009/9/24 10:00:00,17400,17450,17345,17440,132
2009/9/24 10:15:00,17440,17440,17415,17430,12
2009/9/24 11:00:00,17420,17430,17380,17390,106
2009/9/24 11:30:00,17430,17610,17385,17610,154
2009/9/24 14:00:00,17540,17715,17530,17635,252
2009/9/24 14:30:00,17635,17780,17635,17765,216
2009/9/24 15:00:00,17765,17785,17630,17750,160
2009/9/25 9:30:00,17545,17705,17500,17550,222
2009/9/25 10:00:00,17550,17560,17500,17550,90
2009/9/25 10:15:00,17560,17650,17560,17560,126
2009/9/25 11:00:00,17595,17650,17580,17640,260
2009/9/25 11:30:00,17665,17700,17605,17625,168
2009/9/25 14:00:00,17645,17675,17615,17655,164
2009/9/25 14:30:00,17635,17720,17560,17565,184
2009/9/25 15:00:00,17560,17730,17525,17700,290
2009/9/28 9:30:00,17790,17790,17580,17645,226
2009/9/28 10:00:00,17655,17655,17575,17575,176
2009/9/28 10:15:00,17585,17585,17400,17470,96
2009/9/28 11:00:00,17480,17480,17350,17400,134
2009/9/28 11:30:00,17360,17395,17200,17200,394
2009/9/28 14:00:00,17220,17220,17085,17140,180
2009/9/28 14:30:00,17165,17225,17140,17190,80
